id_noticia,author,category,target,full_num_tokens,full_pausality,full_emotiveness,full_diversity,full_verb_density,full_noun_density,full_adj_density,full_adv_density,full_pron_density,full_upper_case_density,full_avg_sentence_len,full_avg_word_len,trunc_num_tokens,trunc_pausality,trunc_emotiveness,trunc_diversity,trunc_verb_density,trunc_noun_density,trunc_adj_density,trunc_adv_density,trunc_pron_density,trunc_upper_case_density,trunc_avg_sentence_len,trunc_avg_word_len,dominio,year_publication,month_publication,link_density
1,0,0,1,217,2.230769230769231,0.2982456140350877,0.6263736263736264,0.1198156682027649,0.1428571428571428,0.0276497695852534,0.0506912442396313,0.0691244239631336,0.0230414746543778,14.0,4.494505494505495,174,2.083333333333333,0.3478260869565217,0.6442953020134228,0.132183908045977,0.132183908045977,0.028735632183908,0.0632183908045977,0.0862068965517241,0.0229885057471264,12.416666666666666,4.442953020134228,0,2017,11,0.0
2,1,1,1,343,2.117647058823529,0.3584905660377358,0.6033333333333334,0.1282798833819242,0.1807580174927113,0.0437317784256559,0.0670553935860058,0.0728862973760933,0.0087463556851311,17.647058823529413,4.476666666666667,348,2.9473684210526314,0.3272727272727272,0.5821917808219178,0.1350574712643678,0.1810344827586207,0.0373563218390804,0.0660919540229885,0.0747126436781609,0.0028735632183908,15.36842105263158,4.428082191780822,0,2017,11,0.0
3,1,0,1,269,3.0,0.3561643835616438,0.65625,0.1115241635687732,0.1598513011152416,0.037174721189591,0.0594795539033457,0.0297397769516728,0.0297397769516728,17.23076923076923,4.848214285714286,245,3.230769230769231,0.3846153846153846,0.6502463054187192,0.110204081632653,0.1551020408163265,0.0408163265306122,0.0612244897959183,0.0326530612244898,0.0285714285714285,15.615384615384617,4.773399014778325,0,2017,11,0.0
4,1,0,1,325,2.3846153846153846,0.2551020408163265,0.5972222222222222,0.1169230769230769,0.1846153846153846,0.04,0.0369230769230769,0.04,0.0061538461538461,22.153846153846157,4.666666666666667,157,2.5,0.1020408163265306,0.7535211267605634,0.10828025477707,0.2038216560509554,0.0127388535031847,0.019108280254777,0.0445859872611464,0.0127388535031847,23.666666666666668,4.535211267605634,0,2017,11,0.0
5,1,0,1,157,1.9090909090909087,0.4090909090909091,0.696969696969697,0.1273885350318471,0.1528662420382165,0.0509554140127388,0.0636942675159235,0.0445859872611464,0.0127388535031847,12.0,5.03030303030303,165,2.4166666666666665,0.4130434782608695,0.6818181818181818,0.1212121212121212,0.1575757575757575,0.0545454545454545,0.0606060606060606,0.0424242424242424,0.0121212121212121,11.0,4.96969696969697,0,2017,11,0.0
6,1,0,1,223,1.6428571428571428,0.2238805970149253,0.6354166666666666,0.1255605381165919,0.1748878923766816,0.0403587443946188,0.0269058295964125,0.0986547085201793,0.0,13.714285714285714,4.697916666666667,232,2.0,0.3125,0.625,0.1206896551724138,0.1551724137931034,0.0474137931034482,0.0387931034482758,0.0948275862068965,0.0,12.0,4.651041666666667,0,2017,11,0.0
7,1,1,1,229,1.75,0.1447368421052631,0.6169154228855721,0.1222707423580786,0.2096069868995633,0.0349344978165938,0.0131004366812227,0.0393013100436681,0.0218340611353711,16.75,4.8059701492537314,231,1.9166666666666667,0.1447368421052631,0.6169154228855721,0.1212121212121212,0.2077922077922078,0.0346320346320346,0.0129870129870129,0.0389610389610389,0.0216450216450216,16.75,4.796019900497512,0,2017,11,0.0
8,1,0,1,215,1.368421052631579,0.5454545454545454,0.644808743169399,0.0930232558139534,0.1627906976744186,0.0511627906976744,0.0883720930232558,0.0186046511627906,0.013953488372093,9.63157894736842,4.404371584699454,223,2.2666666666666666,0.5283018867924528,0.639344262295082,0.085201793721973,0.1524663677130044,0.0403587443946188,0.085201793721973,0.0179372197309417,0.0044843049327354,12.2,4.360655737704918,0,2017,11,0.0
9,1,0,1,110,2.25,0.2058823529411764,0.6632653061224489,0.1181818181818181,0.1909090909090909,0.0363636363636363,0.0272727272727272,0.009090909090909,0.0,24.5,4.755102040816326,113,3.0,0.1714285714285714,0.6632653061224489,0.1238938053097345,0.1858407079646017,0.0265486725663716,0.0265486725663716,0.0088495575221238,0.0,24.5,4.724489795918367,0,2017,11,0.0
10,1,0,1,285,1.9285714285714288,0.3548387096774194,0.6324110671936759,0.1508771929824561,0.175438596491228,0.0421052631578947,0.0736842105263157,0.0421052631578947,0.0,18.071428571428573,4.830039525691699,294,2.533333333333333,0.336734693877551,0.6294820717131474,0.1530612244897959,0.1802721088435374,0.0408163265306122,0.0714285714285714,0.0442176870748299,0.0,16.733333333333334,4.824701195219124,0,2017,11,0.0
11,1,0,1,205,1.7272727272727273,0.1967213114754098,0.56353591160221,0.1024390243902439,0.1951219512195122,0.0341463414634146,0.024390243902439,0.024390243902439,0.0,16.454545454545453,4.988950276243094,212,2.1666666666666665,0.2258064516129032,0.5524861878453039,0.0990566037735849,0.1933962264150943,0.0424528301886792,0.0235849056603773,0.0283018867924528,0.0,15.083333333333334,4.950276243093922,0,2017,11,0.0
12,1,0,1,263,2.363636363636364,0.3380281690140845,0.5670995670995671,0.1292775665399239,0.1406844106463878,0.026615969581749,0.0646387832699619,0.0722433460076045,0.0380228136882129,21.0,4.675324675324675,269,2.6666666666666665,0.3150684931506849,0.5584415584415584,0.1301115241635687,0.1412639405204461,0.0223048327137546,0.0631970260223048,0.070631970260223,0.0334572490706319,19.25,4.653679653679654,0,2017,11,0.0
13,1,0,1,285,2.1818181818181817,0.1348314606741573,0.5764705882352941,0.143859649122807,0.1684210526315789,0.0245614035087719,0.0175438596491228,0.0280701754385964,0.0385964912280701,23.181818181818183,4.866666666666666,287,2.363636363636364,0.1444444444444444,0.5764705882352941,0.1428571428571428,0.1707317073170731,0.0278745644599303,0.0174216027874564,0.0278745644599303,0.0383275261324041,23.181818181818183,4.858823529411764,0,2017,11,0.0
14,1,0,1,129,2.0,0.2162162162162162,0.6636363636363637,0.1240310077519379,0.1627906976744186,0.0310077519379844,0.0310077519379844,0.0542635658914728,0.0310077519379844,15.714285714285714,4.8090909090909095,129,2.0,0.2162162162162162,0.6636363636363637,0.1240310077519379,0.1627906976744186,0.0310077519379844,0.0310077519379844,0.0542635658914728,0.0310077519379844,15.714285714285714,4.8090909090909095,0,2017,11,0.0
15,1,0,1,149,2.5,0.2702702702702703,0.751937984496124,0.1073825503355704,0.1409395973154362,0.0201342281879194,0.046979865771812,0.0738255033557047,0.0067114093959731,21.5,4.821705426356589,155,3.0,0.25,0.7286821705426356,0.0967741935483871,0.1354838709677419,0.0129032258064516,0.0451612903225806,0.0709677419354838,0.0064516129032258,18.428571428571427,4.775193798449612,0,2017,11,0.0
16,1,0,1,422,2.238095238095238,0.2913385826771653,0.5192307692307693,0.1303317535545023,0.1706161137440758,0.0355450236966824,0.0521327014218009,0.0663507109004739,0.0284360189573459,17.333333333333332,4.876373626373627,363,2.227272727272727,0.2702702702702703,0.5159235668789809,0.1349862258953168,0.1707988980716253,0.0358126721763085,0.046831955922865,0.0688705234159779,0.0275482093663911,14.272727272727272,4.856687898089172,0,2017,11,0.0
17,2,1,1,780,2.3548387096774195,0.2067796610169491,0.4505021520803443,0.1461538461538461,0.232051282051282,0.0346153846153846,0.0435897435897435,0.0525641025641025,0.0141025641025641,22.483870967741936,4.373027259684362,797,2.84375,0.204778156996587,0.4353448275862069,0.1430363864491844,0.2245922208281054,0.0313676286072772,0.0439146800501882,0.0514429109159347,0.0087829360100376,21.75,4.353448275862069,1,2017,9,0.0012820512820512
18,2,0,1,209,2.2,0.1,0.6612021857923497,0.1578947368421052,0.1770334928229665,0.0143540669856459,0.0191387559808612,0.0478468899521531,0.0047846889952153,18.3,4.80327868852459,209,2.2,0.1,0.6612021857923497,0.1578947368421052,0.1770334928229665,0.0143540669856459,0.0191387559808612,0.0478468899521531,0.0047846889952153,18.3,4.80327868852459,1,2017,9,0.0
19,2,1,1,429,1.84,0.2483660130718954,0.6216931216931217,0.1072261072261072,0.2494172494172494,0.0606060606060606,0.0279720279720279,0.0303030303030303,0.0046620046620046,15.12,5.166666666666667,406,2.5,0.2237762237762237,0.6153846153846154,0.0960591133004926,0.2561576354679803,0.0591133004926108,0.0197044334975369,0.0270935960591133,0.0049261083743842,15.954545454545457,5.219373219373219,1,2017,9,0.0
20,2,0,1,506,3.933333333333333,0.2677165354330709,0.5351473922902494,0.0849802371541501,0.1660079051383399,0.0395256916996047,0.0276679841897233,0.0177865612648221,0.0454545454545454,29.4,5.020408163265306,510,4.2,0.2635658914728682,0.5328798185941043,0.088235294117647,0.1647058823529411,0.0392156862745098,0.0274509803921568,0.0176470588235294,0.0450980392156862,29.4,5.011337868480726,1,2017,9,0.0
21,2,0,1,166,1.181818181818182,0.2040816326530612,0.6533333333333333,0.108433734939759,0.1867469879518072,0.0240963855421686,0.036144578313253,0.0180722891566265,0.0240963855421686,13.636363636363637,5.166666666666667,166,1.181818181818182,0.2040816326530612,0.6533333333333333,0.108433734939759,0.1867469879518072,0.0240963855421686,0.036144578313253,0.0180722891566265,0.0240963855421686,13.636363636363637,5.166666666666667,1,2017,8,0.0
22,2,0,1,621,2.4827586206896552,0.2572815533980582,0.6310861423220974,0.1191626409017713,0.2125603864734299,0.0595813204508856,0.0257648953301127,0.0209339774557165,0.0048309178743961,18.41379310344828,5.117977528089888,323,3.1875,0.3142857142857143,0.6654411764705882,0.1145510835913312,0.2105263157894736,0.0712074303405572,0.0309597523219814,0.0185758513931888,0.0,17.0,5.018382352941177,1,2017,8,0.0048309178743961
23,2,0,1,520,2.6666666666666665,0.323943661971831,0.5592841163310962,0.0884615384615384,0.1846153846153846,0.0423076923076923,0.0461538461538461,0.0307692307692307,0.0153846153846153,18.625,5.1029082774049215,531,3.1666666666666665,0.3426573426573426,0.5426008968609866,0.0828625235404896,0.1864406779661017,0.0470809792843691,0.0451977401129943,0.032015065913371,0.0150659133709981,18.58333333333333,5.0874439461883405,1,2017,8,0.0019230769230769
24,2,0,1,2646,2.368794326241135,0.3942065491183879,0.3557692307692308,0.1209372637944066,0.1791383219954648,0.0570672713529856,0.0612244897959183,0.0555555555555555,0.0041572184429327,16.22695035460993,4.645541958041958,548,2.272727272727273,0.3846153846153846,0.5369978858350951,0.0802919708029197,0.1806569343065693,0.0620437956204379,0.0383211678832116,0.0474452554744525,0.0054744525547445,14.333333333333334,4.6257928118393234,1,2017,8,0.0
25,2,0,1,236,2.4,0.2463768115942029,0.6581632653061225,0.1101694915254237,0.1822033898305084,0.0423728813559322,0.0296610169491525,0.0338983050847457,0.0127118644067796,13.066666666666666,5.413265306122449,154,1.5714285714285714,0.2222222222222222,0.6590909090909091,0.1038961038961039,0.1883116883116883,0.0324675324675324,0.0324675324675324,0.0259740259740259,0.0064935064935064,9.428571428571429,5.196969696969697,1,2017,8,0.0
26,3,0,1,233,1.5,0.1097560975609756,0.6195121951219512,0.1373390557939914,0.2145922746781116,0.0128755364806866,0.0257510729613733,0.0429184549356223,0.0042918454935622,12.8125,4.453658536585366,233,1.5,0.1097560975609756,0.6195121951219512,0.1373390557939914,0.2145922746781116,0.0128755364806866,0.0257510729613733,0.0429184549356223,0.0042918454935622,12.8125,4.453658536585366,1,2017,8,0.0
27,2,0,1,471,1.76,0.3,0.5,0.0912951167728237,0.1847133757961783,0.048832271762208,0.0339702760084925,0.0297239915074309,0.0297239915074309,16.88,4.827014218009479,473,1.88,0.3100775193798449,0.4964370546318289,0.0887949260042283,0.1839323467230444,0.0507399577167019,0.0338266384778012,0.0274841437632135,0.0295983086680761,16.84,4.831353919239905,1,2017,8,0.0042462845010615
28,2,0,1,292,3.4545454545454546,0.2,0.5983935742971888,0.0924657534246575,0.1815068493150685,0.0273972602739726,0.0273972602739726,0.0342465753424657,0.0205479452054794,22.63636363636364,4.795180722891566,301,3.9166666666666665,0.2317073170731707,0.5903614457831325,0.0897009966777408,0.1827242524916943,0.0332225913621262,0.0299003322259136,0.0332225913621262,0.0199335548172757,20.75,4.759036144578313,1,2017,8,0.0136986301369863
29,2,0,1,745,2.9655172413793105,0.3103448275862069,0.5232919254658385,0.0993288590604026,0.1731543624161073,0.0416107382550335,0.0429530201342281,0.0496644295302013,0.0201342281879194,22.20689655172414,4.827639751552795,769,2.8461538461538463,0.3054187192118227,0.5108695652173914,0.0988296488946684,0.165149544863459,0.0390117035110533,0.0416124837451235,0.0520156046814044,0.0169050715214564,16.512820512820515,4.790372670807454,1,2017,8,0.0
30,2,0,1,346,2.066666666666667,0.3298969072164948,0.6064516129032258,0.0838150289017341,0.1965317919075144,0.0606936416184971,0.0317919075144508,0.0202312138728323,0.0317919075144508,20.666666666666668,4.867741935483871,348,2.2,0.3265306122448979,0.6064516129032258,0.0862068965517241,0.1954022988505747,0.0603448275862069,0.0316091954022988,0.0201149425287356,0.0316091954022988,20.666666666666668,4.861290322580645,1,2017,8,0.0
31,2,0,1,454,1.1153846153846154,0.2222222222222222,0.55,0.0991189427312775,0.2180616740088105,0.0418502202643171,0.0286343612334801,0.0308370044052863,0.0110132158590308,16.153846153846153,4.642857142857143,276,2.2857142857142856,0.2368421052631578,0.5819672131147541,0.0978260869565217,0.1775362318840579,0.036231884057971,0.0289855072463768,0.0289855072463768,0.0108695652173913,17.428571428571427,4.487704918032787,1,2017,8,0.0
32,2,0,1,229,2.8181818181818183,0.2153846153846154,0.6735751295336787,0.1135371179039301,0.1703056768558952,0.0393013100436681,0.0218340611353711,0.0305676855895196,0.0087336244541484,17.545454545454547,5.253886010362694,231,3.0,0.2153846153846154,0.6632124352331606,0.1125541125541125,0.1688311688311688,0.0389610389610389,0.0216450216450216,0.0303030303030303,0.0086580086580086,17.545454545454547,5.243523316062176,1,2017,8,0.0
33,2,0,1,194,2.0,0.1363636363636363,0.6628571428571428,0.1237113402061855,0.2164948453608247,0.0257731958762886,0.0206185567010309,0.0309278350515463,0.0309278350515463,19.444444444444443,4.925714285714286,206,3.333333333333333,0.2222222222222222,0.6514285714285715,0.1116504854368932,0.1941747572815534,0.0436893203883495,0.0242718446601941,0.029126213592233,0.029126213592233,19.444444444444443,4.857142857142857,1,2017,8,0.0
34,2,0,1,377,2.210526315789474,0.2586206896551724,0.5657492354740061,0.1114058355437665,0.1962864721485411,0.0291777188328912,0.0503978779840848,0.039787798408488,0.0159151193633952,17.210526315789473,4.749235474006116,325,2.9375,0.26,0.5863309352517986,0.1107692307692307,0.1969230769230769,0.0246153846153846,0.0553846153846153,0.043076923076923,0.0184615384615384,17.375,4.661870503597123,1,2017,8,0.0
