id_noticia,target,trunc_num_tokens,trunc_pausality,trunc_emotiveness,trunc_diversity,trunc_verb_density,trunc_noun_density,trunc_adj_density,trunc_adv_density,trunc_pron_density,trunc_upper_case_density,trunc_avg_sentence_len,trunc_avg_word_len,link_density
1,1,174,2.083333333333333,0.3478260869565217,0.6442953020134228,0.132183908045977,0.132183908045977,0.028735632183908,0.0632183908045977,0.0862068965517241,0.0229885057471264,12.416666666666666,4.442953020134228,0.0
2,1,348,2.9473684210526314,0.3272727272727272,0.5821917808219178,0.1350574712643678,0.1810344827586207,0.0373563218390804,0.0660919540229885,0.0747126436781609,0.0028735632183908,15.36842105263158,4.428082191780822,0.0
3,1,245,3.230769230769231,0.3846153846153846,0.6502463054187192,0.110204081632653,0.1551020408163265,0.0408163265306122,0.0612244897959183,0.0326530612244898,0.0285714285714285,15.615384615384617,4.773399014778325,0.0
4,1,157,2.5,0.1020408163265306,0.7535211267605634,0.10828025477707,0.2038216560509554,0.0127388535031847,0.019108280254777,0.0445859872611464,0.0127388535031847,23.666666666666668,4.535211267605634,0.0
5,1,165,2.4166666666666665,0.4130434782608695,0.6818181818181818,0.1212121212121212,0.1575757575757575,0.0545454545454545,0.0606060606060606,0.0424242424242424,0.0121212121212121,11.0,4.96969696969697,0.0
6,1,232,2.0,0.3125,0.625,0.1206896551724138,0.1551724137931034,0.0474137931034482,0.0387931034482758,0.0948275862068965,0.0,12.0,4.651041666666667,0.0
7,1,231,1.9166666666666667,0.1447368421052631,0.6169154228855721,0.1212121212121212,0.2077922077922078,0.0346320346320346,0.0129870129870129,0.0389610389610389,0.0216450216450216,16.75,4.796019900497512,0.0
8,1,223,2.2666666666666666,0.5283018867924528,0.639344262295082,0.085201793721973,0.1524663677130044,0.0403587443946188,0.085201793721973,0.0179372197309417,0.0044843049327354,12.2,4.360655737704918,0.0
9,1,113,3.0,0.1714285714285714,0.6632653061224489,0.1238938053097345,0.1858407079646017,0.0265486725663716,0.0265486725663716,0.0088495575221238,0.0,24.5,4.724489795918367,0.0
10,1,294,2.533333333333333,0.336734693877551,0.6294820717131474,0.1530612244897959,0.1802721088435374,0.0408163265306122,0.0714285714285714,0.0442176870748299,0.0,16.733333333333334,4.824701195219124,0.0
