id_noticia,trunc_pausality,trunc_emotiveness,trunc_diversity,trunc_upper_case_density,link_density
1,2.083333333333333,0.3478260869565217,0.6442953020134228,0.0229885057471264,0.0
2,2.9473684210526314,0.3272727272727272,0.5821917808219178,0.0028735632183908,0.0
3,3.230769230769231,0.3846153846153846,0.6502463054187192,0.0285714285714285,0.0
4,2.5,0.1020408163265306,0.7535211267605634,0.0127388535031847,0.0
5,2.4166666666666665,0.4130434782608695,0.6818181818181818,0.0121212121212121,0.0
6,2.0,0.3125,0.625,0.0,0.0
7,1.9166666666666667,0.1447368421052631,0.6169154228855721,0.0216450216450216,0.0
8,2.2666666666666666,0.5283018867924528,0.639344262295082,0.0044843049327354,0.0
9,3.0,0.1714285714285714,0.6632653061224489,0.0,0.0
10,2.533333333333333,0.336734693877551,0.6294820717131474,0.0,0.0
11,2.1666666666666665,0.2258064516129032,0.5524861878453039,0.0,0.0
12,2.6666666666666665,0.3150684931506849,0.5584415584415584,0.0334572490706319,0.0
13,2.363636363636364,0.1444444444444444,0.5764705882352941,0.0383275261324041,0.0
14,2.0,0.2162162162162162,0.6636363636363637,0.0310077519379844,0.0
15,3.0,0.25,0.7286821705426356,0.0064516129032258,0.0
16,2.227272727272727,0.2702702702702703,0.5159235668789809,0.0275482093663911,0.0
17,2.84375,0.204778156996587,0.4353448275862069,0.0087829360100376,0.0012820512820512
18,2.2,0.1,0.6612021857923497,0.0047846889952153,0.0
19,2.5,0.2237762237762237,0.6153846153846154,0.0049261083743842,0.0
20,4.2,0.2635658914728682,0.5328798185941043,0.0450980392156862,0.0
21,1.181818181818182,0.2040816326530612,0.6533333333333333,0.0240963855421686,0.0
22,3.1875,0.3142857142857143,0.6654411764705882,0.0,0.0048309178743961
23,3.1666666666666665,0.3426573426573426,0.5426008968609866,0.0150659133709981,0.0019230769230769
24,2.272727272727273,0.3846153846153846,0.5369978858350951,0.0054744525547445,0.0
25,1.5714285714285714,0.2222222222222222,0.6590909090909091,0.0064935064935064,0.0
26,1.5,0.1097560975609756,0.6195121951219512,0.0042918454935622,0.0
27,1.88,0.3100775193798449,0.4964370546318289,0.0295983086680761,0.0042462845010615
28,3.9166666666666665,0.2317073170731707,0.5903614457831325,0.0199335548172757,0.0136986301369863
29,2.8461538461538463,0.3054187192118227,0.5108695652173914,0.0169050715214564,0.0
30,2.2,0.3265306122448979,0.6064516129032258,0.0316091954022988,0.0
31,2.2857142857142856,0.2368421052631578,0.5819672131147541,0.0108695652173913,0.0
32,3.0,0.2153846153846154,0.6632124352331606,0.0086580086580086,0.0
33,3.333333333333333,0.2222222222222222,0.6514285714285715,0.029126213592233,0.0
34,2.9375,0.26,0.5863309352517986,0.0184615384615384,0.0
35,1.263157894736842,0.2631578947368421,0.6372549019607843,0.0043103448275862,0.0
36,2.235294117647059,0.2321428571428571,0.5256124721603563,0.005607476635514,0.0
37,2.75,0.2568807339449541,0.594059405940594,0.0133333333333333,0.0
38,2.851851851851852,0.3664596273291925,0.5135135135135135,0.0035460992907801,0.0
39,2.5,0.2831858407079646,0.6111111111111112,0.0087719298245614,0.0
40,1.5555555555555556,0.3562231759656652,0.4957627118644068,0.0048192771084337,0.0
41,2.75,0.2705882352941176,0.5714285714285714,0.0038910505836575,0.0
42,1.9,0.3548387096774194,0.5409429280397022,0.0045351473922902,0.0034602076124567
43,1.7692307692307692,0.1944444444444444,0.5462962962962963,0.0053191489361702,0.0
44,2.7777777777777777,0.2119205298013245,0.5483870967741935,0.0263157894736842,0.0133333333333333
45,2.583333333333333,0.3432835820895522,0.6594594594594595,0.009090909090909,0.0
46,2.75,0.1463414634146341,0.5992063492063492,0.0231023102310231,0.0
47,3.2222222222222223,0.2786259541984733,0.4777327935222672,0.021788990825688,0.0034924330616996
48,2.5,0.2702702702702703,0.5791666666666667,0.0387323943661971,0.0
49,2.55,0.1682242990654205,0.5743944636678201,0.0028985507246376,0.0
50,2.5,0.4186046511627907,0.6278195488721805,0.0033222591362126,0.0
51,2.0,0.3496503496503496,0.5444444444444444,0.0096899224806201,0.0
52,1.8571428571428568,0.2232142857142857,0.5784313725490197,0.0027472527472527,0.0
53,1.8,0.2317073170731707,0.6470588235294118,0.0158730158730158,0.0
54,2.1818181818181817,0.3571428571428571,0.6231155778894473,0.0088495575221238,0.0
55,1.851851851851852,0.1682242990654205,0.6,0.0057142857142857,0.0
56,3.1666666666666665,0.1515151515151515,0.5577689243027888,0.0203389830508474,0.0
57,1.8666666666666667,0.1111111111111111,0.5542168674698795,0.0071174377224199,0.0
58,4.6923076923076925,0.2781954887218045,0.5619335347432024,0.0050377833753148,0.0
59,2.909090909090909,0.2159090909090909,0.6412556053811659,0.0077220077220077,0.0
60,3.0,0.3102189781021898,0.4473684210526316,0.0068027210884353,0.0046136101499423
61,2.625,0.3421052631578947,0.6030534351145038,0.006578947368421,0.0
62,4.36,0.1935483870967742,0.4264919941775837,0.0,0.0
63,3.208333333333333,0.265625,0.578125,0.0363128491620111,0.0
64,2.260869565217391,0.2666666666666666,0.6422287390029325,0.0075566750629722,0.0
65,2.727272727272727,0.3057851239669421,0.5420289855072464,0.0316301703163017,0.0102301790281329
66,3.5,0.23,0.5563139931740614,0.0206489675516224,0.0
67,3.095238095238096,0.3684210526315789,0.5950155763239875,0.0076726342710997,0.0
68,2.909090909090909,0.1780821917808219,0.6793478260869565,0.0180995475113122,0.0
70,1.9444444444444444,0.2583333333333333,0.5649717514124294,0.010178117048346,0.0
71,3.5,0.3166666666666666,0.6666666666666666,0.0146341463414634,0.0
72,2.574468085106383,0.3186813186813186,0.3857615894039735,0.002710027100271,0.0
73,3.0,0.0571428571428571,0.5849056603773585,0.0502092050209205,0.0
74,3.4166666666666665,0.1935483870967742,0.5518518518518518,0.0095238095238095,0.0
