id_noticia,trunc_verb_density,trunc_noun_density,trunc_adj_density,trunc_adv_density,trunc_pron_density
1,0.132183908045977,0.132183908045977,0.028735632183908,0.0632183908045977,0.0862068965517241
2,0.1350574712643678,0.1810344827586207,0.0373563218390804,0.0660919540229885,0.0747126436781609
3,0.110204081632653,0.1551020408163265,0.0408163265306122,0.0612244897959183,0.0326530612244898
4,0.10828025477707,0.2038216560509554,0.0127388535031847,0.019108280254777,0.0445859872611464
5,0.1212121212121212,0.1575757575757575,0.0545454545454545,0.0606060606060606,0.0424242424242424
6,0.1206896551724138,0.1551724137931034,0.0474137931034482,0.0387931034482758,0.0948275862068965
7,0.1212121212121212,0.2077922077922078,0.0346320346320346,0.0129870129870129,0.0389610389610389
8,0.085201793721973,0.1524663677130044,0.0403587443946188,0.085201793721973,0.0179372197309417
9,0.1238938053097345,0.1858407079646017,0.0265486725663716,0.0265486725663716,0.0088495575221238
10,0.1530612244897959,0.1802721088435374,0.0408163265306122,0.0714285714285714,0.0442176870748299
11,0.0990566037735849,0.1933962264150943,0.0424528301886792,0.0235849056603773,0.0283018867924528
12,0.1301115241635687,0.1412639405204461,0.0223048327137546,0.0631970260223048,0.070631970260223
13,0.1428571428571428,0.1707317073170731,0.0278745644599303,0.0174216027874564,0.0278745644599303
14,0.1240310077519379,0.1627906976744186,0.0310077519379844,0.0310077519379844,0.0542635658914728
15,0.0967741935483871,0.1354838709677419,0.0129032258064516,0.0451612903225806,0.0709677419354838
16,0.1349862258953168,0.1707988980716253,0.0358126721763085,0.046831955922865,0.0688705234159779
17,0.1430363864491844,0.2245922208281054,0.0313676286072772,0.0439146800501882,0.0514429109159347
18,0.1578947368421052,0.1770334928229665,0.0143540669856459,0.0191387559808612,0.0478468899521531
19,0.0960591133004926,0.2561576354679803,0.0591133004926108,0.0197044334975369,0.0270935960591133
20,0.088235294117647,0.1647058823529411,0.0392156862745098,0.0274509803921568,0.0176470588235294
21,0.108433734939759,0.1867469879518072,0.0240963855421686,0.036144578313253,0.0180722891566265
22,0.1145510835913312,0.2105263157894736,0.0712074303405572,0.0309597523219814,0.0185758513931888
23,0.0828625235404896,0.1864406779661017,0.0470809792843691,0.0451977401129943,0.032015065913371
